layer,head,old_history_effect,old_history_effect_samples,reverse_effect,reverse_effect_samples,reverse_relative_log,reverse_relative_log_samples,phase_shift_effect,phase_shift_effect_samples,phase_shift_relative_log,phase_shift_relative_log_samples,freeze_latest_effect,freeze_latest_effect_samples,freeze_latest_relative_log,freeze_latest_relative_log_samples,value_mismatch_effect,value_mismatch_effect_samples,value_mismatch_relative_log,value_mismatch_relative_log_samples,reverse_vs_phase_log,reverse_vs_phase_log_samples,correct_top1,correct_top1_samples,correct_margin,correct_margin_samples,hard_wrong_top1,hard_wrong_top1_samples,random_wrong_top1,random_wrong_top1_samples,wrong_top1,wrong_top1_samples,history_specificity,history_specificity_samples,hard_history_specificity,hard_history_specificity_samples,correct_peak_age,correct_peak_age_samples,reverse_relative_log_bootstrap_low,reverse_relative_log_bootstrap_high,reverse_relative_log_bootstrap_p_positive,reverse_relative_log_bootstrap_confidence,reverse_relative_log_cluster_count,phase_shift_relative_log_bootstrap_low,phase_shift_relative_log_bootstrap_high,phase_shift_relative_log_bootstrap_p_positive,phase_shift_relative_log_bootstrap_confidence,phase_shift_relative_log_cluster_count,freeze_latest_relative_log_bootstrap_low,freeze_latest_relative_log_bootstrap_high,freeze_latest_relative_log_bootstrap_p_positive,freeze_latest_relative_log_bootstrap_confidence,freeze_latest_relative_log_cluster_count,value_mismatch_relative_log_bootstrap_low,value_mismatch_relative_log_bootstrap_high,value_mismatch_relative_log_bootstrap_p_positive,value_mismatch_relative_log_bootstrap_confidence,value_mismatch_relative_log_cluster_count,history_specificity_bootstrap_low,history_specificity_bootstrap_high,history_specificity_bootstrap_p_positive,history_specificity_bootstrap_confidence,history_specificity_cluster_count,v136_cphi_score,v136_age_js_score,v136_middle_recent_margin,v136_old_mass_excess,v136_temporal_reach_ratio,history_specificity_label,order_gmm_side,order_label_admissible
0,0,0.07698070630431175,128,0.03557910956442356,128,-0.699276206266327,128,0.008946794550865889,128,-2.1984978477983645,128,0.06175483576953411,128,-0.25434761797307603,128,0.017199894413352013,128,-1.6121416492960485,128,1.5284519867875574,128,0.5042277276515961,128,0.05101966857910156,128,0.4882942885160446,128,0.5564427971839905,128,0.5699488818645477,128,-0.06871426105499268,128,0.014540642499923706,128,1.0,128,-0.7871193661948237,-0.642246354036297,0.0,1.0,128,-2.254478368335412,-2.1437598063415817,0.0,1.0,128,-0.3287820260527619,-0.2016644374983312,0.0,1.0,128,-1.679520883438128,-1.4546699640566516,0.0,1.0,128,-0.076954185962677,-0.05308181047439575,0.0,1.0,128,0.0,0.0,-1.4915801286697388,-0.19844654202461243,0.15705819427967072,no_self_history_preference,high_order_response,0
0,1,0.025123335421085358,128,0.0037575799506157637,128,-1.8165036833700652,128,0.003208207432180643,128,-2.036767805378445,128,0.020262672565877438,128,-0.20503682756473363,128,0.0037057865411043167,128,-1.9289394235804451,128,0.29066250484668343,128,0.8071970045566559,128,0.03587043285369873,128,0.8040860295295715,128,0.8169857263565063,128,0.817923367023468,128,-0.00929725170135498,128,0.002161353826522827,128,2.0,128,-1.8552484715334403,-1.760935337217201,0.0,1.0,128,-2.091009731949448,-1.9522157564153844,0.0,1.0,128,-0.24289349062569005,-0.18179154131174702,0.0,1.0,128,-1.9947436000355643,-1.8875968557294345,0.0,1.0,128,-0.010752975940704346,-0.007623851299285889,0.0,1.0,128,0.0,0.0,-1.8810848593711853,-0.5644354522228241,0.1542467102408409,no_self_history_preference,low_order_response,0
0,2,0.1123434379696846,128,0.0070977851282805204,128,-2.7074013849421448,128,0.0031772677320986986,128,-3.470621532230277,128,0.10379648208618164,128,-0.07369830169872615,128,0.0236975634470582,128,-1.6307796851164431,128,0.7672083141041282,128,0.337578684091568,128,0.032670654356479645,128,0.3209611028432846,128,0.4692021459341049,128,0.4851577579975128,128,-0.12992003560066223,128,0.02541394531726837,128,17.0,128,-2.7727102717600376,-2.6641539051342904,0.0,1.0,128,-3.513867466404427,-3.418304193925447,0.0,1.0,128,-0.12225197045146771,-0.022049563930353625,0.0,1.0,128,-1.7594888847768246,-1.4895243780197538,0.0,1.0,128,-0.16966155171394348,-0.1018877625465393,0.0,1.0,128,0.0,0.0,-0.08218110352754593,-0.0007510483264923096,0.18881145119667053,no_self_history_preference,low_order_response,0
0,3,0.10305752605199814,128,0.0011360091739334166,128,-4.380284906197139,128,0.0005788486741948873,128,-5.021652743073943,128,0.10661585256457329,128,0.016376005602455876,128,0.020885649137198925,128,-1.6347246745683541,128,0.6368070604817659,128,0.21112091839313507,128,0.027351953089237213,128,0.17143559455871582,128,0.3982013314962387,128,0.42107954621315,128,-0.17767930030822754,128,0.02290661260485649,128,9.0,128,-4.443001917951501,-4.3130278225909215,0.0,1.0,128,-5.0737222822915555,-4.967069146334701,0.0,1.0,128,-0.01587043362866358,0.06767887187530205,0.793,0.793,128,-1.7839634020186914,-1.4746312709071756,0.0,1.0,128,-0.21734833717346191,-0.1401454657316208,0.0,1.0,128,0.0,0.0,-0.1863335371017456,-0.0015173554420471191,0.17728488147258759,no_self_history_preference,low_order_response,0
0,4,0.054703546687960625,128,0.0341560747474432,128,-0.45187819028354326,128,0.018088681623339653,128,-1.1737602405574954,128,0.05674919672310352,128,-0.024090758278620273,128,0.018231327645480633,128,-1.1449071961427404,128,0.7020598930463424,128,0.7470362484455109,128,0.0616244375705719,128,0.7465420961380005,128,0.7505463659763336,128,0.7519919872283936,128,-0.00880521535873413,128,7.417798042297363e-05,128,18.0,128,-0.5057945582338547,-0.4238596080642049,0.0,1.0,128,-1.2098327539627025,-1.1394597261329555,0.0,1.0,128,-0.04047346563441875,-0.0037792168747752437,0.006,0.994,128,-1.1971029810653413,-1.1261831497455765,0.0,1.0,128,-0.00955510139465332,-0.007090449333190918,0.0,1.0,128,0.0,0.0,0.31397609412670135,0.15327876806259155,0.4332268238067627,no_self_history_preference,high_order_response,0
0,5,0.06830208003520966,128,0.04920812323689461,128,-0.3728818167069028,128,0.0199498999863863,128,-1.293460330908864,128,0.07310749590396881,128,-0.03567093631526425,128,0.020080367103219032,128,-1.2764683180428311,128,0.9081293414935361,128,0.7829340100288391,128,0.025663435459136963,128,0.7814848721027374,128,0.7903822958469391,128,0.7941664159297943,128,-0.008031249046325684,128,0.0005114078521728516,128,12.0,128,-0.40733790098511435,-0.33169715057491966,0.0,1.0,128,-1.3180129473667497,-1.2350407091039404,0.0,1.0,128,-0.05392874255424442,-0.015502322881142642,0.001,0.999,128,-1.3133061721524955,-1.2254823161021606,0.0,1.0,128,-0.009133510291576385,-0.006498992443084717,0.0,1.0,128,0.0,0.0,0.8514647483825684,0.1918286383152008,0.5009419918060303,no_self_history_preference,high_order_response,0
0,6,0.08507475256919861,128,0.028926009312272072,128,-1.0279224873384023,128,0.024106531403958797,128,-1.1767289615808734,128,0.07083844393491745,128,-0.1556303896289769,128,0.027031869627535343,128,-1.1001213461816473,128,0.15905446692142128,128,0.667554497718811,128,0.041327103972435,128,0.642127126455307,128,0.6839659512042999,128,0.6914943158626556,128,-0.025806576013565063,128,0.00958070158958435,128,11.0,128,-1.0887134963048866,-0.9763384668489657,0.0,1.0,128,-1.255138851094748,-1.090661535934712,0.0,1.0,128,-0.18276373902107798,-0.13620401206576407,0.0,1.0,128,-1.1761924703552906,-1.03962852579662,0.0,1.0,128,-0.033029258251190186,-0.021768036484718343,0.0,1.0,128,0.0,0.0,-0.13633907586336136,0.026769697666168213,0.4525351971387863,no_self_history_preference,high_order_response,0
0,7,0.0738152526319027,128,0.008899896405637264,128,-2.186805567579992,128,0.006373517448082566,128,-2.538217239170682,128,0.07155681401491165,128,-0.06261696330851645,128,0.008369511924684048,128,-2.175662754342656,128,0.3644080540312723,128,0.8074762225151062,128,0.018027514219284058,128,0.7862089276313782,128,0.8030441403388977,128,0.8060755133628845,128,-0.0025894641876220703,128,0.015703648328781128,128,12.0,128,-2.245242999528492,-2.102618266047408,0.0,1.0,128,-2.6105815166868176,-2.438225828544951,0.0,1.0,128,-0.1312913366079935,-0.030487441128186327,0.0,1.0,128,-2.2724093319660925,-2.0661336365822764,0.0,1.0,128,-0.00478382408618927,-0.0006079673767089844,0.023,0.977,128,0.0,0.0,-0.6956060230731964,-0.053634583950042725,0.3423035442829132,no_self_history_preference,low_order_response,0
0,8,0.11077254638075829,128,0.0007508141861762851,128,-4.863551094008489,128,0.00044452265137806535,128,-5.273838540910205,128,0.1162988469004631,128,0.027058833891360837,128,0.023181719705462456,128,-1.532572884105031,128,0.42011280758883945,128,0.2723321467638016,128,0.019495323300361633,128,0.22147270292043686,128,0.37632085382938385,128,0.3943525403738022,128,-0.12740327417850494,128,0.026305697858333588,128,12.0,128,-4.951724866169413,-4.778615044605072,0.0,1.0,128,-5.337573106756,-5.18366491569453,0.0,1.0,128,0.0008929513592682569,0.07252555288824881,0.977,0.977,128,-1.8008761448258792,-1.354678061437151,0.0,1.0,128,-0.15883633494377136,-0.10025554895401001,0.0,1.0,128,0.0,0.0,-0.4257145822048187,-0.0027922987937927246,0.1847568228840828,no_self_history_preference,low_order_response,0
0,9,0.12142399325966835,128,0.03044277336448431,128,-1.4053061015668924,128,0.017237755469977856,128,-1.9910608796762088,128,0.11790965870022774,128,-0.0654468555977262,128,0.041490109637379646,128,-1.1478495571201992,128,0.5871994934549749,128,0.3221084028482437,128,0.047935690730810165,128,0.3154413402080536,128,0.40514224767684937,128,0.42199641466140747,128,-0.10306211560964584,128,0.015036217868328094,128,18.0,128,-1.467024114119858,-1.3314910173543801,0.0,1.0,128,-2.046123529048975,-1.9477940584464233,0.0,1.0,128,-0.15760981741702249,-0.009373423479938475,0.01,0.99,128,-1.2222697344177473,-1.071676012777119,0.0,1.0,128,-0.1188794620335102,-0.08653923869132996,0.0,1.0,128,0.0,0.0,-0.3092459440231323,-0.010051697492599487,0.2821796387434006,no_self_history_preference,low_order_response,0
